good,dirty,wait,lastyear,usa
0,0,5.21,9,1
0,0,1.48,2,1
0,0,3.16,2,1
0,0,5.49,2,1
0,0,0.98,4,1
1,0,1.48,2,1
0,1,4.53,1,1
1,0,0.98,2,1
1,0,5.03,2,1
1,0,5.49,0,1
1,0,0.98,2,1
1,0,5.66,2,1
1,0,5.03,3,1
0,1,1.23,19,1
1,0,1.48,1,1
1,0,1.48,38,1
1,0,4.68,3,1
1,0,0.98,4,1
0,0,0.98,1,1
0,0,5.49,4,1
1,0,5.58,5,1
1,0,1.88,27,1
1,1,5.41,3,1
1,0,4.38,1,1
1,0,0.89,4,1
0,0,0.89,5,1
0,0,2.29,1,1
0,0,5.03,3,1
0,0,4.84,3,1
1,0,5.06,1,1
0,0,1.14,2,1
1,0,0.89,2,1
0,0,0.89,2,1
0,0,5.66,4,1
1,0,5.66,11,1
0,0,1.39,7,1
0,0,0.89,16,1
0,2,5.03,2,1
0,0,5.66,9,1
0,0,5.66,3,1
1,0,0.89,9,1
0,0,5.74,22,1
0,0,2.43,3,1
0,0,0.73,1,1
0,0,4.09,1,1
1,0,5.11,4,1
1,1,4.96,1,1
0,0,5.58,1,1
1,0,1.58,1,1
0,0,2.43,4,1
1,0,5.28,3,1
0,0,3.91,1,1
1,0,4.21,1,1
0,0,3.89,1,1
0,0,4.96,1,1
1,0,1.31,1,1
1,0,1.58,1,1
1,0,5.56,4,1
1,0,5.31,9,1
0,0,3.36,2,1
1,0,5.16,2,1
1,0,5.31,1,1
1,0,5.18,4,1
0,0,1.54,5,1
1,0,1.04,2,1
1,0,1.04,2,1
1,0,1.04,1,1
1,0,1.04,5,1
0,0,0.79,4,1
1,0,4.79,6,1
0,0,1.54,1,1
0,0,4.79,3,1
1,0,1.04,4,1
1,0,1.54,1,1
0,0,5.56,1,1
1,0,5.39,6,1
1,0,0.88,2,1
1,0,0.81,3,1
0,1,5.58,1,1
1,0,2.81,6,1
0,0,3.38,2,1
1,0,5.33,1,1
1,0,1.06,1,1
0,0,5.74,3,1
1,0,2.36,3,1
1,0,0.98,5,1
1,0,0.98,2,1
1,0,2.14,1,1
1,0,5.49,4,1
0,0,4.68,1,1
0,0,5.51,11,1
1,0,5.59,4,1
0,0,3.48,1,1
0,0,4.89,1,1
1,0,0.83,1,1
1,0,1.08,6,1
1,0,5.59,1,1
0,0,2.24,1,1
1,0,4.89,4,1
1,0,1.33,2,1
1,0,1.08,1,1
1,0,1.33,5,1
0,0,1.08,1,1
1,0,4.89,2,1
1,0,1.36,1,1
1,0,5.63,1,1
0,0,1.11,2,1
1,0,1.11,2,1
1,0,4.13,1,1
0,0,1.11,1,1
0,0,1.63,2,1
1,0,5.74,1,1
1,0,5.74,4,1
1,0,1.39,2,1
0,0,1.06,1,1
0,0,1.31,11,1
1,0,1.99,1,1
1,0,1.99,0,1
1,0,5.33,9,1
1,0,0.81,21,1
0,0,5.58,5,1
1,0,1.06,1,1
1,0,0.81,11,1
1,0,0.81,5,1
0,0,5.58,10,1
1,0,1.31,2,1
0,0,5.33,7,1
1,0,5.33,4,1
1,0,0.98,2,1
0,0,0.81,1,1
0,0,1.06,1,1
1,0,1.48,1,1
0,0,0.81,63,1
0,1,5.49,4,1
1,0,5.58,1,1
1,0,0.81,1,1
0,0,5.33,7,1
0,0,5.58,1,1
0,0,1.06,4,1
1,0,5.33,39,1
0,0,0.81,1,1
1,0,0.73,1,1
1,0,0.73,1,1
1,0,0.98,5,1
1,0,1.79,2,1
1,0,0.98,1,1
1,0,1.96,22,1
1,0,5.21,4,1
0,0,0.98,2,1
1,0,0.98,2,1
0,0,1.23,1,1
1,0,2.36,1,1
1,0,1.66,1,1
